2023-04-05 08:50:36 [info     ] pulling
2023-04-05 08:50:36 [info     ] pulling 1 status contexts
2023-04-05 08:50:36 [info     ] pulling 0 status dbs
2023-04-05 08:50:36 [info     ] pulling 0 runs
2023-04-05 09:44:55 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33469938
2023-04-05 09:44:55 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=1084
2023-04-05 09:44:55 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=1084
2023-04-05 09:44:57 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33457914
2023-04-05 09:44:57 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33457914
2023-04-05 09:44:57 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=774
2023-04-05 09:44:57 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=774
2023-04-05 09:44:59 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33474885
2023-04-05 09:44:59 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33474885
2023-04-05 09:44:59 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=1178
2023-04-05 09:44:59 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=1178
2023-04-05 09:45:01 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33468812
2023-04-05 09:45:01 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33468812
2023-04-05 09:45:01 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=532
2023-04-05 09:45:01 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=532
2023-04-05 09:45:03 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33456596
2023-04-05 09:45:03 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33456596
2023-04-05 09:45:03 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=596
2023-04-05 09:45:03 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=596
2023-04-05 09:45:05 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33025648
2023-04-05 09:45:05 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33025648
2023-04-05 09:45:06 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=1175
2023-04-05 09:45:06 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=1175
2023-04-05 09:45:08 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/30815407
2023-04-05 09:45:08 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/30815407
2023-04-05 09:45:28 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=644
2023-04-05 09:45:28 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=644
2023-04-05 09:45:28 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33483580
2023-04-05 09:45:28 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33483580
2023-04-05 09:45:30 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=728
2023-04-05 09:45:30 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=728
2023-04-05 09:45:30 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33484191
2023-04-05 09:45:30 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33484191
2023-04-05 09:45:32 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=908
2023-04-05 09:45:32 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=908
2023-04-05 09:45:32 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33487203
2023-04-05 09:45:32 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33487203
2023-04-05 09:45:34 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=37
2023-04-05 09:45:34 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=37
2023-04-05 09:45:34 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485543
2023-04-05 09:45:34 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485543
2023-04-05 09:45:36 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=1197
2023-04-05 09:45:36 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=1197
2023-04-05 09:45:36 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33479599
2023-04-05 09:45:36 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33479599
2023-04-05 09:45:38 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=576
2023-04-05 09:45:38 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=576
2023-04-05 09:45:39 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33479626
